iter	RMSE
0	0.4805551868
1	0.4750546776
2	0.4695676041
3	0.4645678312
4	0.4595972953
5	0.4548118471
6	0.4510090678
7	0.4463046659
8	0.4417808966
9	0.4380772636
10	0.4341190505
11	0.4307611907
12	0.4271851448
13	0.4235270971
14	0.4197509951
15	0.4164566722
16	0.4131844096
17	0.4100308297
18	0.4072713166
19	0.4044984814
20	0.4022876059
21	0.4001251881
22	0.3976242401
23	0.3952282545
24	0.3929486227
25	0.3908753175
26	0.3890435546
27	0.3870148706
28	0.3850914598
29	0.3833768216
30	0.3814178004
31	0.379714103
32	0.377961236
33	0.3763248591
34	0.3748257439
35	0.3737920457
36	0.3724832961
37	0.3715129208
38	0.3706190007
39	0.3695085668
40	0.367904227
41	0.3667114125
42	0.3655688063
43	0.3645826179
44	0.363355946
45	0.3621487833
46	0.361254416
47	0.360487972
48	0.3595388569
49	0.3585779166
50	0.3576423577
51	0.35687077
52	0.3565185901
53	0.3559449911
54	0.3548392104
55	0.3540083586
56	0.353158516
57	0.3524743129
58	0.3517612681
59	0.3510040644
60	0.3503702197
61	0.3495321664
62	0.3488807813
63	0.348321415
64	0.3477292312
65	0.3472262379
66	0.3466444913
67	0.3461543441
68	0.345971986
69	0.345525142
70	0.3450503081
71	0.3446925029
72	0.3446370095
73	0.344091431
74	0.3436402307
75	0.3432897374
76	0.3429359395
77	0.342799687
78	0.3422624326
79	0.3419643259
80	0.3416475174
81	0.3412186452
82	0.3407218319
83	0.3404655341
84	0.3401128658
85	0.3398684688
86	0.3395195968
87	0.3391801926
88	0.3389255818
89	0.3385428085
90	0.3381063284
91	0.3377648637
92	0.3374787494
93	0.3370809463
94	0.3368477822
95	0.3366150323
96	0.3362669719
97	0.3359112045
98	0.3357028901
99	0.3353415282
100	0.3349694676
101	0.3346311571
102	0.3343076063
103	0.3341099068
104	0.3340418571
105	0.3338057531
106	0.3335767271
107	0.3333397385
108	0.3330743016
109	0.3327371709
110	0.3324740873
111	0.3321742483
112	0.3318636664
113	0.331640365
114	0.3312397003
115	0.3309036651
116	0.3304978832
117	0.3303119876
118	0.3301598835
119	0.3298337103
