iter	Passed	Remaining
0	46	46895
1	47	23768
2	48	16051
3	48	12198
4	49	9830
5	50	8288
6	50	7154
7	51	6343
8	51	5717
9	52	5219
10	53	4808
11	53	4440
12	54	4148
13	55	3900
14	56	3686
15	56	3498
16	57	3331
17	58	3183
18	59	3050
19	59	2931
20	60	2808
21	60	2708
22	61	2620
23	62	2542
24	63	2467
25	64	2399
26	64	2324
27	65	2263
28	66	2210
29	66	2160
30	68	2126
31	69	2087
32	69	2043
33	70	2002
34	71	1963
35	71	1915
36	72	1880
37	72	1847
38	73	1815
39	74	1783
40	74	1752
41	75	1722
42	76	1693
43	76	1665
44	77	1639
45	77	1614
46	78	1590
47	78	1566
48	79	1542
49	80	1524
50	81	1509
51	81	1491
52	82	1476
53	83	1455
54	83	1439
55	84	1422
56	85	1409
57	85	1393
58	86	1382
59	87	1371
60	88	1360
61	89	1346
62	89	1332
63	90	1320
64	91	1318
65	92	1305
66	92	1294
67	93	1281
68	93	1263
69	93	1248
70	94	1234
71	94	1221
72	94	1204
73	95	1191
74	95	1178
75	95	1165
76	96	1153
77	96	1141
78	96	1130
79	97	1118
80	97	1107
81	98	1097
82	98	1087
83	98	1076
84	99	1066
85	99	1056
86	99	1047
87	100	1037
88	100	1028
89	100	1019
90	101	1010
91	101	1002
92	101	993
93	102	985
94	102	977
95	102	969
96	103	961
97	103	953
98	103	945
99	104	938
100	104	931
101	104	924
102	105	917
103	105	910
104	105	902
105	106	895
106	106	889
107	106	883
108	107	877
109	107	871
110	108	865
111	108	859
112	108	853
113	109	847
114	109	842
115	109	836
116	110	830
117	110	825
118	110	820
119	111	815
120	111	810
121	111	805
122	112	800
123	112	795
124	112	790
125	113	785
126	113	780
127	113	776
128	114	771
129	114	767
130	114	762
131	115	758
132	115	753
133	116	750
134	116	746
135	116	741
136	117	737
137	117	733
138	117	729
139	118	725
140	118	721
141	118	718
142	119	714
143	119	710
144	119	706
145	120	703
146	120	699
147	120	696
148	121	692
149	121	689
150	121	685
151	122	682
152	122	678
153	122	675
154	123	672
155	123	669
156	124	665
157	124	662
158	124	659
159	125	656
160	125	653
161	125	650
162	126	647
163	126	644
164	126	641
165	127	638
166	127	635
167	127	632
168	128	630
169	128	627
170	128	624
171	129	621
172	129	619
173	129	616
174	130	613
175	130	611
176	130	608
177	131	606
178	131	603
179	131	600
180	132	598
181	132	596
182	132	593
183	133	591
184	133	588
185	134	586
186	134	584
187	134	581
188	135	579
189	135	577
190	135	575
191	135	572
192	136	569
193	136	567
194	136	565
195	137	563
196	137	561
197	138	558
198	138	556
199	138	554
200	139	552
201	139	550
202	139	548
203	140	546
204	140	544
205	140	542
206	141	540
207	141	538
208	141	536
209	142	534
210	142	532
211	142	530
212	143	529
213	143	527
214	143	525
215	144	523
216	144	521
217	144	519
218	145	518
219	145	516
220	145	514
221	146	512
222	146	510
223	146	509
224	147	507
225	147	505
226	148	504
227	148	502
228	148	500
229	149	498
230	149	497
231	149	495
232	150	494
233	150	492
234	150	490
235	151	489
236	151	487
237	151	486
238	152	484
239	152	482
240	152	481
241	153	479
242	153	478
243	153	476
244	154	475
245	154	473
246	154	472
247	155	470
248	155	469
249	155	467
250	156	466
251	156	464
252	156	463
253	157	461
254	157	460
255	157	459
256	158	457
257	158	456
258	159	454
259	159	453
260	159	452
261	160	450
262	160	449
263	160	448
264	161	447
265	161	446
266	162	444
267	162	443
268	162	442
269	163	440
270	163	439
271	163	438
272	164	437
273	164	435
274	164	434
275	165	433
276	165	432
277	165	430
278	166	429
279	166	428
280	166	427
281	167	425
282	167	424
283	167	423
284	168	422
285	168	421
286	168	419
287	169	418
288	169	417
289	169	416
290	170	414
291	170	413
292	170	412
293	171	411
294	171	410
295	172	409
296	172	407
297	172	406
298	173	405
299	173	404
300	173	403
301	174	402
302	174	401
303	174	400
304	175	398
305	175	397
306	175	396
307	176	395
308	176	394
309	176	393
310	177	392
311	177	391
